id,date,if_working,in_hours
95,2022-04-05,8,8
96,2022-04-06,8,8
97,2022-04-07,8,8
98,2022-04-08,8,8
99,2022-04-09,Пр,0
100,2022-04-10,Пр,0
101,2022-04-11,8,8
102,2022-04-12,8,8
103,2022-04-13,8,8
104,2022-04-14,8,8
105,2022-04-15,8,8
106,2022-04-16,Пр,0
107,2022-04-17,Пр,0
108,2022-04-18,8,8
109,2022-04-19,8,8
110,2022-04-20,8,8
111,2022-04-21,8,8
112,2022-04-22,8,8
113,2022-04-23,Пр,0
114,2022-04-24,Пр,0
115,2022-04-25,8,8
116,2022-04-26,8,8
117,2022-04-27,8,8
118,2022-04-28,8,8
119,2022-04-29,8,8
120,2022-04-30,Пр,0
121,2022-05-01,Пр,0
122,2022-05-02,Пр,0
123,2022-05-03,Пр,0
124,2022-05-04,8,8
125,2022-05-05,8,8
126,2022-05-06,8,8
127,2022-05-07,Пр,0
128,2022-05-08,Пр,0
129,2022-05-09,Пр,0
130,2022-05-10,Пр,0
131,2022-05-11,8,8
132,2022-05-12,8,8
133,2022-05-13,8,8
134,2022-05-14,Пр,0
135,2022-05-15,Пр,0
136,2022-05-16,8,8
137,2022-05-17,8,8
138,2022-05-18,8,8
139,2022-05-19,8,8
140,2022-05-20,8,8
141,2022-05-21,Пр,0
142,2022-05-22,Пр,0
143,2022-05-23,8,8
144,2022-05-24,8,8
145,2022-05-25,8,8
146,2022-05-26,8,8
147,2022-05-27,8,8
148,2022-05-28,Пр,0
149,2022-05-29,Пр,0
150,2022-05-30,8,8
151,2022-05-31,8,8
152,2022-06-01,8,8
153,2022-06-02,8,8
154,2022-06-03,8,8
155,2022-06-04,Пр,0
156,2022-06-05,Пр,0
157,2022-06-06,8,8
158,2022-06-07,8,8
159,2022-06-08,8,8
160,2022-06-09,8,8
161,2022-06-10,8,8
162,2022-06-11,Пр,0
163,2022-06-12,Пр,0
164,2022-06-13,Пр,0
165,2022-06-14,8,8
166,2022-06-15,8,8
167,2022-06-16,8,8
168,2022-06-17,8,8
169,2022-06-18,Пр,0
170,2022-06-19,Пр,0
171,2022-06-20,8,8
172,2022-06-21,8,8
173,2022-06-22,8,8
174,2022-06-23,8,8
175,2022-06-24,8,8
176,2022-06-25,Пр,0
177,2022-06-26,Пр,0
178,2022-06-27,8,8
179,2022-06-28,8,8
180,2022-06-29,8,8
181,2022-06-30,8,8
182,2022-07-01,8,8
183,2022-07-02,Пр,0
184,2022-07-03,Пр,0
185,2022-07-04,8,8
186,2022-07-05,8,8
187,2022-07-06,8,8
188,2022-07-07,8,8
189,2022-07-08,8,8
190,2022-07-09,Пр,0
191,2022-07-10,Пр,0
192,2022-07-11,8,8
193,2022-07-12,8,8
194,2022-07-13,8,8
195,2022-07-14,8,8
196,2022-07-15,8,8
197,2022-07-16,Пр,0
198,2022-07-17,Пр,0
199,2022-07-18,8,8
200,2022-07-19,8,8
201,2022-07-20,8,8
202,2022-07-21,8,8
203,2022-07-22,8,8
204,2022-07-23,Пр,0
205,2022-07-24,Пр,0
206,2022-07-25,8,8
207,2022-07-26,8,8
208,2022-07-27,8,8
209,2022-07-28,8,8
210,2022-07-29,8,8
211,2022-07-30,Пр,0
212,2022-07-31,Пр,0
213,2022-08-01,8,8
214,2022-08-02,8,8
215,2022-08-03,8,8
216,2022-08-04,8,8
217,2022-08-05,8,8
218,2022-08-06,Пр,0
219,2022-08-07,Пр,0
220,2022-08-08,8,8
221,2022-08-09,8,8
222,2022-08-10,8,8
223,2022-08-11,8,8
224,2022-08-12,8,8
225,2022-08-13,Пр,0
226,2022-08-14,Пр,0
227,2022-08-15,8,8
228,2022-08-16,8,8
229,2022-08-17,8,8
230,2022-08-18,8,8
231,2022-08-19,8,8
232,2022-08-20,Пр,0
233,2022-08-21,Пр,0
234,2022-08-22,8,8
235,2022-08-23,8,8
236,2022-08-24,8,8
237,2022-08-25,8,8
238,2022-08-26,8,8
239,2022-08-27,Пр,0
240,2022-08-28,Пр,0
241,2022-08-29,8,8
242,2022-08-30,8,8
243,2022-08-31,8,8
244,2022-09-01,8,8
245,2022-09-02,8,8
246,2022-09-03,Пр,0
247,2022-09-04,Пр,0
248,2022-09-05,8,8
249,2022-09-06,8,8
250,2022-09-07,8,8
251,2022-09-08,8,8
252,2022-09-09,8,8
253,2022-09-10,Пр,0
254,2022-09-11,Пр,0
255,2022-09-12,8,8
256,2022-09-13,8,8
257,2022-09-14,8,8
258,2022-09-15,8,8
259,2022-09-16,8,8
260,2022-09-17,Пр,0
261,2022-09-18,Пр,0
262,2022-09-19,8,8
263,2022-09-20,8,8
264,2022-09-21,8,8
265,2022-09-22,8,8
266,2022-09-23,8,8
267,2022-09-24,Пр,0
268,2022-09-25,Пр,0
269,2022-09-26,8,8
270,2022-09-27,8,8
271,2022-09-28,8,8
272,2022-09-29,8,8
273,2022-09-30,8,8
274,2022-10-01,Пр,0
275,2022-10-02,Пр,0
276,2022-10-03,8,8
277,2022-10-04,8,8
278,2022-10-05,8,8
279,2022-10-06,8,8
280,2022-10-07,8,8
281,2022-10-08,Пр,0
282,2022-10-09,Пр,0
283,2022-10-10,8,8
284,2022-10-11,8,8
285,2022-10-12,8,8
286,2022-10-13,8,8
287,2022-10-14,8,8
288,2022-10-15,Пр,0
289,2022-10-16,Пр,0
290,2022-10-17,8,8
291,2022-10-18,8,8
292,2022-10-19,8,8
293,2022-10-20,8,8
294,2022-10-21,8,8
295,2022-10-22,Пр,0
296,2022-10-23,Пр,0
297,2022-10-24,8,8
298,2022-10-25,8,8
299,2022-10-26,8,8
300,2022-10-27,8,8
301,2022-10-28,8,8
302,2022-10-29,Пр,0
303,2022-10-30,Пр,0
304,2022-10-31,8,8
305,2022-11-01,8,8
306,2022-11-02,8,8
307,2022-11-03,8,8
308,2022-11-04,Пр,0
309,2022-11-05,Пр,0
310,2022-11-06,Пр,0
311,2022-11-07,8,8
312,2022-11-08,8,8
313,2022-11-09,8,8
314,2022-11-10,8,8
315,2022-11-11,8,8
316,2022-11-12,Пр,0
317,2022-11-13,Пр,0
318,2022-11-14,8,8
319,2022-11-15,8,8
320,2022-11-16,8,8
321,2022-11-17,8,8
322,2022-11-18,8,8
323,2022-11-19,Пр,0
324,2022-11-20,Пр,0
325,2022-11-21,8,8
326,2022-11-22,8,8
327,2022-11-23,8,8
328,2022-11-24,8,8
329,2022-11-25,8,8
330,2022-11-26,Пр,0
331,2022-11-27,Пр,0
332,2022-11-28,8,8
333,2022-11-29,8,8
334,2022-11-30,8,8
335,2022-12-01,8,8
336,2022-12-02,8,8
337,2022-12-03,Пр,0
338,2022-12-04,Пр,0
339,2022-12-05,8,8
340,2022-12-06,8,8
341,2022-12-07,8,8
342,2022-12-08,8,8
343,2022-12-09,8,8
344,2022-12-10,Пр,0
345,2022-12-11,Пр,0
346,2022-12-12,8,8
347,2022-12-13,8,8
348,2022-12-14,8,8
349,2022-12-15,8,8
350,2022-12-16,8,8
351,2022-12-17,Пр,0
352,2022-12-18,Пр,0
353,2022-12-19,8,8
354,2022-12-20,8,8
355,2022-12-21,8,8
356,2022-12-22,8,8
357,2022-12-23,8,8
358,2022-12-24,Пр,0
359,2022-12-25,Пр,0
360,2022-12-26,8,8
361,2022-12-27,8,8
362,2022-12-28,8,8
363,2022-12-29,8,8
364,2022-12-30,8,8
365,2022-12-31,Пр,0
